Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
CBS,Media & Internet,USD 14 387 186 000,8493,USD 846 800,PostgreSQL; MySQL; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch
CCC,Business Services,USD 866 378 000,2375,USD 46 700,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Cdiscount,Retail,USD 422 223 000,2000,USD 639 000,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; Jenkins; Prometheus; Couchbase; Snowflake; Apache Kafka,cshield.net,OVH SRL,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
CDK Global,Business Services,USD 2 000 000 000,9000,USD 95 300,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
Celonis,Software,USD 11 000 000 000,18000,USD 63 500,PostgreSQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Splunk; Apache Kafka,Netlify,Amazon EC2,"Kubernetes; Docker, Inc.",PostgreSQL,Apache Kafka,Apache Lucene
Centene,Insurance,USD 144 547 000 000,73000,USD 299 700,PostgreSQL; PostgreSQL; MySQL; MySQL; Redis; Apache Cassandra; Grafana; Grafana; MongoDB; MariaDB; MariaDB; Kubernetes; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Snowflake; Splunk; Apache Kafka,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora,Confluent; Apache Kafka,Elasticsearch
CentralSquare,Software,USD 303 867 000,1934,USD 48 300,PostgreSQL; Docker; HashiCorp Terraform; Jenkins; Splunk,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",PostgreSQL; Amazon Relational Database Service,,
Cerence,Software,USD 375 583 000,1700,USD 25 000,PostgreSQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Kubernetes,Databricks,Kubernetes,PostgreSQL,Apache Kafka,Elasticsearch
Cerner,Software,USD 7 003 221 000,28000,USD 259 300,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Certara,Business Services,USD 352 960 000,1338,USD 40 600,PostgreSQL; MySQL; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk,Amazon EC2,MySQL,"Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,Elasticsearch; Apache Solr; Apache Lucene
Ceska Sporitelna,Finance,USD 3 259 118 000,10010,USD 111 700,PostgreSQL; MySQL; Redis; Kubernetes; Docker; Jenkins; Apache Kafka,Microsoft Azure,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
CGI,Business Services,USD 14 296 360 000,91500,USD 411 100,PostgreSQL; MySQL; Redis; Redis; Apache Cassandra; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch
Chalk.ai,Software,USD 3 719 000,14,,HashiCorp Terraform,,,,,,
Change Healthcare,Software,USD 3 480 815 000,14000,USD 243 300,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Splunk; Apache Kafka,Oracle Cloud,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr
chargebee.com,Software,USD 268 446 000,1278,USD 759 700,PostgreSQL; Redis; Grafana; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Charles River Development,Software,USD 318 783 000,1250,USD 6 500,PostgreSQL; MySQL; Apache Cassandra; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Rackspace,AT&T,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
"Charles River Laboratories International, Inc.",Manufacturing,USD 4 189 523 000,20400,USD 109 900,PostgreSQL; MySQL; MongoDB; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,Databricks,"MongoDB, Inc.",,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Charles Taylor,Insurance,USD 3 738 425 000,4000,USD 10 700,MySQL; Redis; Kubernetes,Amazon EC2,Amazon Simple Email Service (SES),,MySQL; Microsoft Azure SQL Database,,
Checkout.com,Software,USD 353 544 000,5500,USD 476 300,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Datadog; Snowflake,Amazon EC2,Databricks,Kubernetes,MySQL; PostgreSQL,,
Check Point Software,Software,USD 2 414 700 000,6026,USD 316 800,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch; Apache Solr; Apache Lucene
Checkpoint Systems,Manufacturing,USD 678 928 000,2500,USD 33 600,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker,Lumen Technologies,Vodafone Group Public Limited Company,,MySQL; PostgreSQL,,
Chegg,Education,USD 776 265 000,2484,USD 2 863 900,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Chenega,Business Services,USD 1 364 675 000,7000,USD 27 200,PostgreSQL; MySQL; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Google Compute Engine,Pantheon Platform,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
CHEP,Transportation,USD 3 755 626 000,11500,USD 48 600,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Flink,Amazon EC2,Teradata,,MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,,Elasticsearch
Chico's FAS,Retail,USD 2 114 230 000,19700,USD 48 900,MongoDB; HashiCorp Terraform; Splunk; Apache Kafka,Google Compute Engine,Amazon EC2,,MySQL,Apache Kafka,
Children's Hospital Colorado,Hospitals & Physicians Clinics,USD 900 788 000,8000,USD 122 500,MySQL,Amazon EC2,Namecheap,,MySQL,,
Choice Hotels,Hospitality,USD 1 544 165 000,1836,USD 358 600,PostgreSQL; MySQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Amazon EC2,Rackspace,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch
CIBC,Finance,USD 15 997 674 000,49000,USD 1 266 900,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Ciena,Manufacturing,USD 4 386 549 000,8623,USD 162 400,PostgreSQL; Apache Cassandra; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Kafka,Amazon EC2,CyberArk Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Lucene
Ciklum,Business Services,USD 799 955 000,4000,USD 22 800,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,"Docker, Inc.","MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
CIMB Niaga,Finance,USD 4 000 000 000,13000,USD 79 300,MySQL; Jenkins; Splunk,Amazon EC2,PT Solusi Tunas Pratama Tbk,,MySQL,,
Cinch Home Services,Real Estate,USD 841 146 000,900,USD 44 900,PostgreSQL; Docker; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Snowflake Computing,,PostgreSQL,Apache Kafka,Elasticsearch
Cineplex,Hospitality,USD 1 177 451 000,10000,USD 203 500,PostgreSQL; MySQL; Redis; MongoDB; Jenkins,Amazon EC2,Lumen Technologies,Kubernetes,MySQL; PostgreSQL,,Elasticsearch
Cirque du Soleil,Hospitality,USD 536 087 000,4000,USD 62 100,PostgreSQL; MySQL; Docker,Amazon EC2,one.com,,MySQL; PostgreSQL,,
cisco.com,Manufacturing,USD 58 034 000 000,84900,USD 3 554 600,MySQL; MySQL; Redis; Apache Cassandra; Apache Cassandra; InfluxDB; Grafana; MongoDB; MongoDB; MariaDB; MariaDB; Kubernetes; Kubernetes; HashiCorp Terraform; HashiCorp Terraform; Jenkins; Jenkins; Datadog; Prometheus; Snowflake; Snowflake; Splunk; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Rackspace,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Aurora; Amazon Relational Database Service; EnterpriseDB,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Cision,Software,USD 910 374 000,5500,USD 1 629 200,PostgreSQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Apache Kafka; Apache Kafka; Apache Flink,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
CIT,Finance,USD 2 770 800 000,4085,USD 32 300,PostgreSQL; MySQL; MySQL; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Microsoft Azure,,MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
Citadel Securities,Finance,USD 876 456 000,1700,USD 51 900,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Datadog; Snowflake; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Citibank,Finance,USD 76 329 000 000,191685,USD 4 095 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,CyberArk Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Citiustech,Software,USD 904 531 000,5637,USD 88 200,PostgreSQL; MySQL; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Kafka; Apache Flink,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Apache Solr
Citrix,Software,USD 3 314 153 000,9700,USD 999 000,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,SoftLayer an IBM Company,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
CIT Software SA,Business Services,USD 462 000 000,6500,USD 58 000,,Amazon EC2,Google Inc.,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
City & Guilds,Education,USD 297 361 000,1344,USD 38 100,PostgreSQL; MySQL; Docker,Amazon EC2,Amazon Simple Email Service (SES),,MySQL; PostgreSQL,,
City Furniture,Retail,USD 919 462 000,4862,USD 73 700,PostgreSQL; MySQL; Redis; MongoDB; Docker,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
City of Hope,Healthcare Services,USD 3 400 000 000,11000,USD 32 600,PostgreSQL; MySQL; MySQL; Jenkins; Snowflake; Apache Kafka,"Acquia, Inc.",Rackspace,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Apache Lucene
City of Tacoma,Government,USD 313 403 000,4000,USD 23 200,MySQL,Amazon EC2,Snowflake Computing,,MySQL,,
Claranet,Business Services,USD 459 295 000,2500,USD 393 400,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus,Internap Corp.,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent,Elasticsearch
Clarivate Analytics,Software,USD 2 110 694 000,12000,USD 1 931 300,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Claroty,Software,USD 105 026 000,500,USD 38 700,PostgreSQL; Redis; Docker; HashiCorp Terraform; Jenkins; Datadog; Splunk; Apache Kafka,Amazon EC2,"Docker, Inc.",Docker,PostgreSQL,Apache Kafka,
Clearwater Analytics,Software,USD 317 254 000,1700,USD 55 400,PostgreSQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake,"Level 3 Communications, Inc.",Microsoft Azure,"Kubernetes; Docker, Inc.",PostgreSQL,,Elasticsearch
Cloudera,Software,USD 1 074 740 000,5500,USD 609 700,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; EnterpriseDB,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Cloudflare,Software,USD 1 296 745 000,3682,USD 2 284 700,PostgreSQL; MySQL; Redis; Apache Cassandra; ClickHouse; Grafana; Kubernetes; Docker; HashiCorp Terraform; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Snowflake Computing,MySQL,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Clough,Construction,USD 490 520 000,2217,USD 1 000,MySQL; Snowflake,Oracle,Amazon EC2,,MySQL,,
Clyde & Co.,Law Firms & Legal Services,USD 975 578 000,5537,USD 23 400,PostgreSQL; Snowflake,"Level 3 Communications, Inc.",Lumen Technologies,,PostgreSQL,,Elasticsearch
CME Group,Finance,USD 5 578 900 000,3565,USD 748 900,PostgreSQL; MySQL; MySQL; Redis; Redis; Apache Cassandra; Grafana; Kubernetes; HashiCorp Terraform; Prometheus; Snowflake; Splunk; Splunk; Apache Flink,Akamai Technologies,SoftLayer an IBM Company,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
CoastCapital,Finance,USD 382 736 000,1885,USD 42 500,MySQL; MongoDB; Kubernetes; Jenkins; Splunk,"Docker, Inc.",Amazon EC2,"Docker, Inc.",MySQL,,
Cobham,Holding Companies & Conglomerates,USD 503 776 000,1881,USD 364 500,PostgreSQL; Docker; Jenkins; Jenkins; Splunk,Amazon EC2,Timewarner Telecom,"Docker, Inc.",MySQL; PostgreSQL,,
Coforge,Business Services,USD 2 000 000 000,23224,USD 44 500,Docker; Apache Kafka,Kubernetes,"MongoDB, Inc.",Kubernetes,,Apache Kafka,
Cognex,Manufacturing,USD 1 080 478 000,2441,USD 130 100,PostgreSQL; MySQL; MongoDB; Docker; Jenkins,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch
Cognizant,Business Services,USD 19 428 000 000,355300,USD 921 200,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; Grafana; MongoDB; MariaDB; Kubernetes; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Veeam Software,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Confluent; Microsoft Azure HDInsight; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Cohesity,Software,USD 321 169 000,1529,USD 84 000,PostgreSQL; MySQL; Apache Cassandra; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
Coinbase,Finance,USD 7 355 000 000,4900,USD 11 419 800,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Apache Kafka; Apache Flink,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Coinstar,Finance,USD 257 782 000,500,USD 8 800,MySQL; Redis,Amazon EC2,Microsoft Azure,,MySQL,,
Collaborative Solutions,Business Services,USD 312 369 000,1300,USD 37 000,PostgreSQL; Kubernetes; Docker,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",PostgreSQL,,
Collibra,Software,USD 252 062 000,1200,USD 77 100,PostgreSQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,KnownHost LLC,"Kubernetes; Docker, Inc.",PostgreSQL,Apache Kafka,Elasticsearch
Columbia Sportswear,Manufacturing,USD 3 596 729 000,10070,USD 477 600,PostgreSQL; MySQL; Docker; Jenkins; Splunk; Apache Kafka,Amazon EC2,Internap Corp.,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Comarch,Business Services,,5500,USD 74 600,,Interia.pl Group,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Comau,Manufacturing,USD 855 642 000,4000,USD 320 600,PostgreSQL; MySQL,Amazon EC2,Cafe24,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Comcast,Holding Companies & Conglomerates,USD 121 427 000 000,190000,USD 1 367 500,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; ClickHouse; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Microsoft Azure,,MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Comcast Spectacor,Business Services,USD 428 539 000,1500,USD 28 900,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; ClickHouse; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Snowflake Computing,,MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
Comfy,Software,USD 13 309 000,75,USD 4 000,,"Docker, Inc.",Veeam Software,Kubernetes; Docker,,,
Commercial International Bank,Finance,USD 1 544 273 000,7917,USD 71 900,MySQL; Kubernetes; Docker; HashiCorp Terraform,Amazon EC2,Microsoft Azure,,MySQL,,Elasticsearch
Commonwealth Bank of Australia,Finance,USD 26 005 000 000,50000,USD 340 300,PostgreSQL; PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; HashiCorp Terraform; Jenkins; Jenkins; Prometheus; Snowflake; Splunk,Amazon EC2,AWS Rekognition,,MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Commonwealth of Massachusetts,Government,USD 9 422 146 000,42000,USD 487 400,PostgreSQL; MySQL; MongoDB; Docker; Jenkins; Splunk; Apache Kafka,Amazon EC2,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr
Community,Media & Internet,USD 35 295 000,150,USD 1 778 300,PostgreSQL; Apache Cassandra; Kubernetes; Docker; HashiCorp Terraform; Snowflake,Amazon EC2,Snowflake Computing,Kubernetes; Docker,PostgreSQL,,
Comscore,Business Services,USD 376 423 000,1400,USD 536 200,PostgreSQL; MySQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Comtech,Manufacturing,USD 570 766 000,1993,USD 49 400,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Comtrade,Software,USD 250 683 000,1914,USD 21 200,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; Jenkins,Amazon EC2,Hetzner Online GmbH,,MySQL; PostgreSQL,,
Comviva,Business Services,USD 540 000 000,2500,USD 23 300,PostgreSQL; MySQL; Redis; Grafana; MariaDB; Jenkins; Apache Kafka,Amazon EC2,Kubernetes,Kubernetes,MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
Concourse Labs,Software,USD 11 000 000,60,,Kubernetes; Jenkins; Prometheus; Splunk,,,,,,
Condé Nast,Holding Companies & Conglomerates,USD 2 000 000 000,6000,USD 2 841 900,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Apache Kafka; Apache Flink,Amazon EC2,CDS Global,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Conduent,Business Services,USD 4 467 000 000,60000,USD 393 200,,Lumen Technologies,"Liquid Web, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Connective,Software,USD 357 088 000,1700,USD 93 500,PostgreSQL; MySQL; Grafana; MongoDB; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
ConnectWise,Business Services,USD 678 092 000,3000,USD 246 400,PostgreSQL; MySQL; Redis; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Constant Contact,Software,USD 408 055 000,1400,USD 2 207 500,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Docker; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"MongoDB, Inc.","Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
ContentSquare,Software,USD 378 093 000,1800,USD 83 700,MySQL; InfluxDB; ClickHouse; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Apache Kafka; Apache Flink,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Continental,Manufacturing,USD 40 600 000 000,11000,USD 195 900,,Amazon EC2,"Liquid Web, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
"Contra Costa County, California",Government,USD 5 515 000 000,31974,USD 2 582 400,MySQL,Amazon EC2,Pantheon Platform,"Kubernetes; Docker, Inc.",MySQL,,
Control Risks,Business Services,USD 591 740 000,2800,USD 19 300,MySQL; Redis; Docker,"Docker, Inc.",Amazon EC2,"Docker, Inc.",MySQL,,Elasticsearch
ConvaTec,Manufacturing,USD 2 038 300 000,10100,USD 35 700,MySQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins,Microsoft Azure,Amazon EC2,Kubernetes,MySQL; Microsoft Azure SQL Database,,
Convene,Hospitality,USD 512 336 000,500,USD 26 800,PostgreSQL; MySQL; Redis; Kubernetes; Docker; Jenkins,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,
ConvergeOne,Business Services,USD 739 982 000,2995,USD 74 600,MySQL; MongoDB; Kubernetes; Docker; Jenkins; Splunk,Amazon EC2,Kubernetes,Kubernetes,MySQL,,Elasticsearch
Coolblue,Retail,USD 1 568 000 000,4259,USD 133 200,PostgreSQL; MySQL; Redis; Docker; HashiCorp Terraform; Datadog; Splunk,Amazon EC2,TransIP BV,,MySQL; PostgreSQL,,Elasticsearch
